date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:38	35502/35502	---M--	200	added ('OK')	image/jpeg	etag:%22ee2fc426ac44a091%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko4.jpg?fit=525%2C361&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko47a0f.jpg	(from https://www.niagaweb.co.id/)
11:24:38	17040/17040	---M--	200	added ('OK')	image/jpeg	etag:%22a91ba09854c8a90b%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko5-1.jpg?fit=525%2C371&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko5-1d3c6.jpg	(from https://www.niagaweb.co.id/)
11:24:38	35480/35480	---M--	200	added ('OK')	image/jpeg	etag:%22047c42a0b1b146a3%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko6.jpg?fit=525%2C365&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko6cd72.jpg	(from https://www.niagaweb.co.id/)
11:24:39	21015/21015	---M--	200	added ('OK')	image/jpeg	etag:%22607b07500f8a0dfd%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro5s.jpg?fit=525%2C370&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro5s434a.jpg	(from https://www.niagaweb.co.id/)
11:24:39	42043/42043	---M--	200	added ('OK')	image/jpeg	etag:%223d600ff9b90277e8%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko7.jpg?fit=525%2C365&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko7cd72.jpg	(from https://www.niagaweb.co.id/)
11:24:39	21694/21694	---M--	200	added ('OK')	image/jpeg	etag:%22528a6fbd232744ce%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko8.jpg?fit=525%2C367&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko82fb6.jpg	(from https://www.niagaweb.co.id/)
11:24:40	31553/31553	---M--	200	added ('OK')	image/jpeg	etag:%2213c7d52e7b891d4e%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro6.jpg?fit=525%2C354&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro6fdcd.jpg	(from https://www.niagaweb.co.id/)
11:24:40	29275/29275	---M--	200	added ('OK')	image/jpeg	etag:%22affff6e488041370%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2021/04/bank-bantul-yt.jpg?fit=525%2C295&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2021/04/bank-bantul-yt4662.jpg	(from https://www.niagaweb.co.id/)
11:24:41	48769/48769	---M--	200	added ('OK')	image/jpeg	etag:%2217e463224b784bca%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2021/04/kampoeng-cyber-yt.jpg?fit=525%2C295&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2021/04/kampoeng-cyber-yt4662.jpg	(from https://www.niagaweb.co.id/)
11:24:41	79027/79027	---M--	200	added ('OK')	image/png	etag:%22a6c86d79241ca340%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/09/Kolese-Gonzaga-1.png?fit=525%2C394&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/09/Kolese-Gonzaga-155d7.png	(from https://www.niagaweb.co.id/)
